	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
SOX10	-0.7526220217554573	0.011618227444827219	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0002061855670103093	0.0002061855670103093
BRAF	-0.7028896532519118	0.01594712749325787	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0002061855670103093	0.0002061855670103093
HLA-J	-0.6074308811099092	0.015490406537574854	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0002061855670103093	0.0002061855670103093
ZEB2	-0.6012931611642586	0.01758364697859671	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0002061855670103093	0.0002061855670103093
MAPK1	-0.5768820474727816	0.013379321897635011	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0002061855670103093	0.0002061855670103093
CATSPERB	-0.5657730978474159	0.018314150287482903	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0002061855670103093	0.0002061855670103093
PRAMEF8	-0.5639357085823552	0.018431792923270324	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0002061855670103093	0.0002061855670103093
PRAMEF7	-0.5639357085823552	0.018431792923270324	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0002061855670103093	0.0002061855670103093
ZNF804B	-0.5593602162799729	0.016056909293494872	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0002061855670103093	0.0002061855670103093
RAI14	-0.555018176542132	0.019686341712719362	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0002061855670103093	0.0002061855670103093
WDR83OS	-0.550694705935198	0.017754280231931308	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0002061855670103093	0.0002061855670103093
EXPH5	-0.5455433087660352	0.018027026751127502	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0002061855670103093	0.0002061855670103093
MSTO1	-0.5444974726030565	0.013500338754102807	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0002061855670103093	0.0002061855670103093
DLG1	-0.5378843890014686	0.014841693579536385	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0002061855670103093	0.0002061855670103093
