	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
EGFR	-0.5908354611424554	0.018344194150213936	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
PSMD6	-0.5899729800453801	0.020832894647947908	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
RAB6A	-0.5755559037119318	0.014116359347008759	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
PTPN23	-0.5746501295513377	0.01566481190274607	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
C7orf31	-0.5660339255850421	0.02274194667656399	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
HNRNPM	-0.5587217585942857	0.01431982424081454	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
BUB1B	-0.5427619457579177	0.01758218698259724	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
OSTC	-0.5427357074634529	0.01991673638136701	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
PPP1R12A	-0.5361877493728502	0.014498825490794688	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
RPA2	-0.5352013225397096	0.01533551720111382	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
VPS28	-0.5317895886415698	0.015553854776409224	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
EDF1	-0.5313360690209289	0.017032868751664085	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
SF3B6	-0.525733640880316	0.016837027912738542	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
WDR12	-0.5250046575888843	0.021348136640925372	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
WDR92	-0.524771623479638	0.01596355767691762	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
SRP54	-0.5247327797299304	0.019284829391704346	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
UBA1	-0.5208916947301746	0.0146875123473284	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
ILK	-0.5183129948336213	0.015451638756572697	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
TM9SF2	-0.5172702554383483	0.017004817035268686	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
POLR2D	-0.5153904375940868	0.01693052464529668	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
ATP6V1B2	-0.5106910116012134		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
PDIA3P1	-0.5079761953877352		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
GRHL2	-0.507081816747344		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
TPSG1	-0.5048003198325072		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
NPAS1	-0.5026500918174978		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
TGIF1	-0.5025719087826325		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
RPF2	-0.5018020489762275		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
SLC35C1	-0.5010043770336323		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
ANLN	-0.5006368618494946		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
PI4KA	-0.49702753726055426		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
SMC1A	-0.49531336241011215		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
COPZ1	-0.4942994442950658		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
MYL12A	-0.4940422549276831		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
MED12	-0.49354709210855907		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
ARL4C	-0.4930860569034983		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
ADAR	-0.49295026282400406		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
OSTCP2	-0.49261296380992836		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
FTSJ3	-0.49213047029848217		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
RPS27	-0.49167657285604877		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
MAD2L1	-0.4912530230287013		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
ATP1B4	-0.4911737925348295		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
TBC1D10A	-0.49086115789818385		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
DHDDS	-0.49050725837276793		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
SART3	-0.4899968332613513		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
MYBL2	-0.4896259493786957		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
CFLAR	-0.48921950534729197		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
SRGAP3	-0.48895470728859675		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
HEXIM1	-0.48860055175357064		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
PSMD8	-0.4872661236812916		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
MLYCD	-0.4869047459567603		1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0004	0.0004
EEF2	-0.4856023270062184		0.999997657119	2.34288057166e-06	2.34288057166e-06	1.0	0.000535714285714	0.000535714285714
POLR2A	-0.4853651553158453		0.999997657119	2.34288057166e-06	2.34288057166e-06	1.0	0.000535714285714	0.000535714285714
RPE65	-0.48442822039173794		0.999997657119	2.34288057166e-06	2.34288057166e-06	1.0	0.000535714285714	0.000535714285714
NSMCE1	-0.4833515404882533		0.999997657119	2.34288057166e-06	2.34288057166e-06	1.0	0.000535714285714	0.000535714285714
GRWD1	-0.4822489917524411		0.999997657119	2.34288057166e-06	2.34288057166e-06	1.0	0.000535714285714	0.000535714285714
COPS8	-0.4815011545463095		0.999997657119	2.34288057166e-06	2.34288057166e-06	1.0	0.000535714285714	0.000535714285714
ZC3H13	-0.48095682221956765		0.999997657119	2.34288057166e-06	2.34288057166e-06	1.0	0.000535714285714	0.000535714285714
ABCE1	-0.48093656876910357		0.999997657119	2.34288057166e-06	2.34288057166e-06	1.0	0.000535714285714	0.000535714285714
MAP3K5	-0.4805942725625165		0.999997657119	2.34288057166e-06	2.34288057166e-06	1.0	0.000535714285714	0.000535714285714
CLTC	-0.48045910452143814		0.999997657119	2.34288057166e-06	2.34288057166e-06	1.0	0.000535714285714	0.000535714285714
NUS1	-0.4797217560725545		0.999997657119	2.34288057166e-06	2.34288057166e-06	1.0	0.000535714285714	0.000535714285714
SPC25	-0.4795600463346493		0.999997657119	2.34288057166e-06	2.34288057166e-06	1.0	0.000535714285714	0.000535714285714
PRSS3P2	-0.47878980483558026		0.999997657119	2.34288057166e-06	2.34288057166e-06	1.0	0.000535714285714	0.000535714285714
PRG2	-0.478647336659884		0.999997657119	2.34288057166e-06	2.34288057166e-06	1.0	0.000535714285714	0.000535714285714
LILRB4	-0.47852444818412143		0.999997657119	2.34288057166e-06	2.34288057166e-06	1.0	0.000535714285714	0.000535714285714
MTSS1L	-0.4770140871106508		0.999996485679	3.51432085749e-06	3.51432085749e-06	1.0	0.000535714285714	0.000535714285714
RPN2	-0.4767479435864417		0.999996485679	3.51432085749e-06	3.51432085749e-06	1.0	0.000535714285714	0.000535714285714
LSM7	-0.4766778286827205		0.999996485679	3.51432085749e-06	3.51432085749e-06	1.0	0.000535714285714	0.000535714285714
TNKS2	-0.4757264359708974		0.999996485679	3.51432085749e-06	3.51432085749e-06	1.0	0.000535714285714	0.000535714285714
CYP2A13	-0.47571276625062375		0.999996485679	3.51432085749e-06	3.51432085749e-06	1.0	0.000535714285714	0.000535714285714
SHC1	-0.4755755686246009		0.999996485679	3.51432085749e-06	3.51432085749e-06	1.0	0.000535714285714	0.000535714285714
CYFIP1	-0.4755423596223871		0.999996485679	3.51432085749e-06	3.51432085749e-06	1.0	0.000535714285714	0.000535714285714
